Price,Close,High,Low,Open,Volume
Ticker,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA,WEGE3.SA
Date,,,,,
2023-01-02,34.76214599609375,35.127104316255036,34.43368768454918,35.127104316255036,3017700
2023-01-03,33.89537048339844,35.00848656326044,33.658146570288565,34.771266130650474,5662900
2023-01-04,34.12348175048828,34.388072936962494,33.448309752085564,34.05961455232196,6169800
2023-01-05,34.196468353271484,34.57967498927369,33.99574090200838,34.29683207890304,6660600
2023-01-06,34.69828414916992,34.91725987104799,34.03223807085478,34.205594865821055,4071700
2023-01-09,34.59791946411133,34.944629563947096,33.95924754402034,34.670912529550826,5730600
2023-01-10,34.260337829589844,34.58879968791474,33.83151571944452,34.232967168229834,6556000
2023-01-11,35.21834945678711,35.309590795991944,33.941002032430255,34.20559669537247,5982900
2023-01-12,35.13623809814453,35.57418961650897,34.85339861480695,35.16361224335582,5376000
2023-01-13,35.555931091308594,35.911763551909736,34.5979163367663,34.8442626896057,4957200
2023-01-16,34.3880729675293,35.674546286810674,34.00486977819075,35.674546286810674,7545600
2023-01-17,34.95375442504883,35.19097491985498,34.43369103060769,34.62529260108583,4932900
2023-01-18,34.66178894042969,35.39170216713046,34.488432156243945,35.20922299033006,5833500
2023-01-19,34.58879089355469,34.86250787906456,34.269454990543224,34.41543761484851,5522400
2023-01-20,34.05960464477539,34.588790344291056,33.95011506790987,34.570542081480134,6967000
2023-01-23,34.096107482910156,34.77127947883468,33.90450588911447,34.05048855303041,4331400
2023-01-24,33.95012283325195,34.43369320709675,33.54867140108931,34.43369320709675,7500200
2023-01-25,35.32784652709961,35.88440663207229,33.85889372033614,33.89539026372824,12935100
2023-01-26,34.862510681152344,35.54680494017758,33.72202024944361,35.37345164753807,11767800
2023-01-27,34.58879089355469,35.19096965387652,33.91361908083006,34.77127004406137,14610700
2023-01-30,34.07786178588867,34.69828902446536,33.84064124431595,34.670918360572756,8055300
2023-01-31,34.889888763427734,35.34608498769561,33.959248048261145,34.01398936765266,9636200
2023-02-01,35.0267448425293,35.35520667431925,34.41544358486537,34.844265660368116,6318500
2023-02-02,34.707401275634766,35.565048719129365,34.406310168998274,34.789516715581065,7112600
2023-02-03,34.58879089355469,35.21834030827741,34.40631174304801,34.52492371295239,8093400
2023-02-06,34.27857971191406,34.698279350258105,33.95924378719589,34.52492605976831,6881500
2023-02-07,34.369815826416016,34.570543243583415,33.968364472581584,34.21471080805966,8673800
2023-02-08,34.36070251464844,34.96288144477393,34.05961478983633,34.351580120775886,4938900
2023-02-09,34.65267562866211,35.136242664047074,34.30596541511146,34.43370332152638,6409800
2023-02-10,35.21834945678711,35.36433211901364,34.21471908904235,34.5705516106882,7127800
2023-02-13,35.20008850097656,35.747522362747745,34.99936112742731,35.145343722599605,5129800
2023-02-14,34.99937057495117,35.90263703874601,34.82601380354569,35.24571692339537,6066600
2023-02-15,35.47382736206055,35.89352714758012,35.12711717900005,35.47382736206055,10995900
2023-02-16,35.38257598876953,35.546806898422986,34.48843185871227,35.32783467255223,7342600
2023-02-17,36.14899444580078,36.267606460337305,35.05412261127518,35.17273462581171,8000500
2023-02-22,35.23713684082031,36.40252860438455,35.20043065128422,36.24653254959851,8043500
2023-02-23,36.007957458496094,36.283246941258405,35.099498314835195,35.31973200134246,9948300
2023-02-24,35.65925216674805,36.04465670562507,35.19125694040268,35.833601339026416,5112700
2023-02-27,35.60419464111328,36.11807088559783,35.30137727419054,35.71430972904014,4714600
2023-02-28,35.93453598022461,36.09971032823263,35.57665939303883,35.59501248731693,7461500
2023-03-01,36.136417388916016,36.59523425545712,35.50324787277256,35.93453684747956,7934900
2023-03-02,35.93453598022461,36.48511480658814,35.77853992960304,36.127238219402365,4163300
2023-03-03,35.64089584350586,36.44841454298195,35.53078077100754,36.11806582499196,5339900
2023-03-06,36.18230056762695,36.32912183379568,35.51242832195117,35.778542960786716,5594500
2023-03-07,36.32912063598633,36.494294992542066,35.91618474459698,36.06300600592486,4956200
2023-03-08,36.8521728515625,36.99899411788366,36.173122307017685,36.33829666919088,7378100
2023-03-09,36.57687759399414,36.98063513700031,36.57687759399414,36.70534574401908,5384100
2023-03-10,36.28325271606445,36.69618875617826,36.08137209634298,36.5401891408036,4632900
2023-03-13,36.51264572143555,36.971462570911754,35.84277354125965,35.980416495805656,7427900
2023-03-14,36.94394302368164,37.026530223084265,36.430070227839444,36.430070227839444,4704200
2023-03-15,36.769588470458984,37.136643414460465,36.38418392970327,36.75123537320937,6236000
2023-03-16,36.98064422607422,37.063231414316256,36.54935868791726,36.80629505111676,6583700
2023-03-17,36.586055755615234,36.91640445777797,36.44841279671068,36.80628939055535,9680200
2023-03-20,36.4787712097168,37.066841508474525,36.36850890499359,36.84631339385264,5827400
2023-03-21,36.71767044067383,37.011705565920806,36.570652878050346,36.60740814500001,5241100
2023-03-22,36.31336975097656,36.98413753913998,36.18472983340753,36.72685770400192,4920900
2023-03-23,36.653350830078125,37.08521645796949,36.322560434686885,36.386880399882386,6499000
2023-03-24,37.22304916381836,37.31493734617855,36.57984941317577,36.75443170189651,6714600
2023-03-27,37.84786605834961,37.95813185176301,37.25979584751127,37.47113336045786,7311600
2023-03-28,38.01327896118164,38.472709465685284,37.79275428191878,37.82950605834487,6873300
2023-03-29,38.34405517578125,38.72997847823489,37.921380110616774,38.114340009255955,7454100
2023-03-30,38.46350860595703,38.61971323899299,37.728420763368035,38.399188638803956,5155400
2023-03-31,37.259803771972656,38.932130104157224,37.167919096427624,38.5186420538532,10945300
2023-04-03,36.3776969909668,37.4803305846746,36.11122653399543,37.4803305846746,8938800
2023-04-04,36.41444396972656,36.69928849215698,36.065275985109686,36.62578147207566,6442000
2023-04-05,35.60585021972656,36.69010606812193,35.33937978974333,36.4879556032829,7128200
2023-04-06,35.47720718383789,36.00095742854992,35.41288722432412,35.59666003943841,3998900
2023-04-10,35.27506637573242,35.61504389823023,35.07291587335087,35.385328692860604,4469500
2023-04-11,35.91826248168945,36.138790577099186,35.50477449353068,35.5139650628093,7179900
2023-04-12,36.51552963256836,37.14954232093912,36.000966324138325,36.07447336524217,9407100
2023-04-13,36.1755485534668,36.80956474595612,35.95502392534719,36.56147191043975,6615400
2023-04-14,35.61503601074219,35.853941734315804,35.20155153678993,35.77124413849033,6485300
2023-04-17,36.276615142822266,36.29499277497489,35.670167302485375,35.688544934638,3679400
2023-04-18,36.08366012573242,36.497148141952124,35.697736808868896,36.30418473093266,5687600
2023-04-19,35.93665313720703,36.30419542250699,35.76206730940135,35.90908842973305,4241900
2023-04-20,36.98414993286133,37.11278989353877,35.74368916327055,36.138799616880426,9536000
2023-04-24,37.076026916503906,37.4527596538834,36.708484748793,37.076026916503906,8144200
2023-04-25,37.250606536865234,37.829486144077826,37.03926903666742,37.397624080706095,9244600
2023-04-26,36.85549545288086,38.03163577878986,36.46038515492556,37.73760069731261,9771600
2023-04-27,37.076026916503906,37.16791508731312,36.45120137570252,36.919822283891214,5337900
2023-04-28,37.78355407714844,37.78355407714844,36.85550623690668,36.85550623690668,7415000
2023-05-02,37.507896423339844,38.197042002169226,37.085221309566656,37.3792564761198,5799900
2023-05-03,36.66254425048828,37.66410257878492,36.63497604527841,37.360876857704746,5451100
2023-05-04,36.11122512817383,36.938201167554126,35.991772254668795,36.75442832489457,5340400
2023-05-05,36.037715911865234,36.32256047082145,35.651792615133125,35.982583010853446,7852800
2023-05-08,36.01933670043945,36.34093651264982,35.670168686343146,36.23067422063127,4669200
2023-05-09,36.62578201293945,36.68091140252086,36.0101436229401,36.05608945449103,3642300
2023-05-10,36.157169342041016,36.77280787117591,36.14798227675943,36.570657383224805,4335000
2023-05-11,36.129608154296875,36.29500338685357,35.71612007290512,36.000968196791874,6709000
2023-05-12,35.75286865234375,36.414449458673104,35.6517934174684,35.92745091838053,5474100
2023-05-15,36.423641204833984,36.543094089147374,35.80800615717219,35.835570859253835,5580100
2023-05-16,36.4787712097168,36.81874869396571,36.21230076022487,36.28581130015732,4265800
2023-05-17,36.25823974609375,36.80955822913805,36.17554214889586,36.65335009879753,3886400
2023-05-18,36.11122512817383,36.368508509967384,35.9090781559062,36.24905563646235,5386900
2023-05-19,36.87388610839844,37.19548599699422,35.918270003462546,36.26743810049218,11502300
2023-05-22,37.0852165222168,37.56302448247911,36.616595626208955,36.662541463006946,6401900
2023-05-23,36.956581115722656,37.55383851028368,36.7728082615594,37.030088154282566,5552000
2023-05-24,36.589027404785156,37.0576482556653,36.52470744567218,36.84630724123707,3074900
2023-05-25,35.87232971191406,37.011715243883096,35.697743900839384,36.99333760560281,7746200
2023-05-26,36.30418395996094,36.41444976539481,35.88150888799042,36.18473459517057,6524500
2023-05-29,35.72530746459961,36.331755428273226,35.58747694801102,36.30418722185012,3442100
2023-05-30,35.2291259765625,36.07447629641099,35.12805071980321,36.00096924933445,6349200
2023-05-31,34.55834197998047,35.22910968581477,34.55834197998047,35.10965684623007,12497500
2023-06-01,34.17243194580078,34.91671045687643,34.17243194580078,34.76050580310636,10739000
2023-06-02,34.61348342895508,34.82482449003291,33.93352842390905,34.25512829046114,9999400
2023-06-05,34.57673263549805,35.026972461344876,34.4021468414476,34.71455965139624,4888100
2023-06-06,35.10047912597656,35.21993199735348,34.760501651477284,34.80644398502983,6913000
2023-06-07,35.05453872680664,35.33019624850864,34.85238824180991,35.27506334209802,7235000
2023-06-09,34.73292922973633,35.65178980991546,34.66860926953779,35.155604255376744,8603000
2023-06-12,34.686988830566406,34.93508162163121,34.55834890301617,34.88913929110257,7812500
2023-06-13,34.3194465637207,34.85238746495082,34.20918425853276,34.824822764947704,10187500
2023-06-14,34.79724884033203,34.79724884033203,34.37457381893817,34.52159137008277,11544100
2023-06-15,34.76969528198242,34.90752581384317,34.51241536136346,34.834015262137164,6148900
2023-06-16,34.778873443603516,35.19236142814061,34.64104645220791,34.6502335162309,10825900
2023-06-19,34.61348342895508,35.091291448672216,34.5215987542761,34.79725628348869,3436700
2023-06-20,33.951904296875,34.60429456667609,33.8875843269045,34.60429456667609,6858200
2023-06-21,33.49247741699219,34.117303051778016,33.37302452956011,34.025414867147255,11890100
2023-06-22,33.446533203125,33.593550785120414,33.17087216985491,33.31788975185032,4656400
2023-06-23,33.63030242919922,33.63030242919922,33.20762732064946,33.52923068990086,5203600
2023-06-26,33.49988555908203,33.74837062130464,32.966094511008144,33.729967181024165,6546100
2023-06-27,33.5919189453125,33.7299693315864,33.10414699914112,33.56431027236459,6131000
2023-06-28,33.665550231933594,33.849612751623376,33.38944943086388,33.72076758353352,6256700
2023-06-29,33.90483474731445,34.05208687444893,33.52750095210938,33.803598251640565,9004800
2023-06-30,34.74232864379883,35.00922419649429,33.83120377833642,34.12571151595137,8007900
2023-07-03,34.687110900878906,34.926397800918764,34.36499797094175,34.85276998220877,4338100
2023-07-04,34.2269401550293,34.77913814348305,34.2269401550293,34.696308620753335,2692200
2023-07-05,34.512245178222656,34.71471814004704,34.125709717394784,34.19013229419943,4665600
2023-07-06,33.95083999633789,34.585867452907586,33.739165347736844,34.512239656472495,5783000
2023-07-07,34.05208206176758,34.68710611201627,33.8220004262151,33.88642300330842,4221200
2023-07-10,33.39864730834961,34.06127995699822,33.325019508073794,34.0152643372092,4546100
2023-07-11,33.08572769165039,33.453856066297945,32.68998714359903,33.398638741022026,6933800
2023-07-12,33.186981201171875,33.33423332890443,32.9753064869793,33.14096205875673,4844700
2023-07-13,33.186981201171875,33.65634626120451,33.11335338192177,33.14096205875673,3046100
2023-07-14,33.13175582885742,33.46307394886875,33.00291067346795,33.24219403193881,4424000
2023-07-17,32.48753356933594,33.10415431736863,32.257451881860796,33.08574736107847,12067700
2023-07-18,33.076541900634766,33.54591050589409,32.515145536091836,32.53354898148781,10489700
2023-07-19,34.88957977294922,35.055238834723504,32.883267589920386,34.05208274320909,42083100
2023-07-20,35.119659423828125,35.322132379142985,34.364991967721664,35.018422946170695,22364800
2023-07-21,35.791500091552734,36.03078696809544,34.89878218657783,35.147270784171894,14512500
2023-07-24,38.373634338378906,38.502962341931195,36.11961990872885,36.138095841225436,28879300
2023-07-25,37.41291046142578,38.872477548688444,37.39443452721591,38.50296591233928,9924300
2023-07-26,37.394439697265625,37.745475447938134,36.960263993116065,37.34825161731718,7944300
2023-07-27,37.27434158325195,37.91174896037366,37.01568556002809,37.3944333900019,8479800
2023-07-28,37.24663162231445,38.272023094220046,37.126539808543505,37.78242315765851,5882900
2023-07-31,36.87712860107422,37.21892818760503,36.77551622218876,37.21892818760503,7141800
2023-08-01,36.82169723510742,37.08035328426944,36.5815135975218,36.87712151768535,5088200
2023-08-02,36.9787483215332,37.01570020344736,36.39677203904955,36.67390410555492,4455200
2023-08-03,37.348243713378906,37.62537565834529,36.91406810111311,36.99720803699542,5008000
2023-08-04,37.736228942871094,38.29049637451959,37.246629040250305,37.34824491224873,6023600
2023-08-07,37.81013488769531,37.9487026346915,37.329771161745825,37.412911105158706,4166400
2023-08-08,37.560707092285156,37.8101268696315,37.3112873149388,37.54223116167541,6978200
2023-08-09,37.671573638916016,37.93946944989352,37.29282572557447,37.40368135186331,4456500
2023-08-10,37.17273712158203,38.02260910617594,36.83093756245534,37.67157334022748,6334900
2023-08-11,36.76626968383789,37.25587316819618,36.489137697251245,37.20044536130909,6228100
2023-08-14,36.31361389160156,36.90482961062071,36.045718167694865,36.84016561159822,6590800
2023-08-15,36.3505744934082,36.747798349357275,36.175058368842855,36.23048618266999,3892600
2023-08-16,34.74319839477539,36.322853712046665,34.58615472156753,36.322853712046665,12275400
2023-08-17,34.096561431884766,35.09424089358452,33.73628946757919,35.09424089358452,8420400
2023-08-18,33.49610900878906,33.939524494522395,33.163552680376604,33.939524494522395,10409500
2023-08-21,33.292877197265625,33.643909427342294,33.11735755830264,33.48686924924346,4868400
2023-08-22,33.69009780883789,33.76399802560193,33.12659411982434,33.292874012448806,7395500
2023-08-23,33.671627044677734,33.88409504589935,33.209739166215556,33.72705133478129,6666600
2023-08-24,33.23744201660156,33.67161762859717,32.923358206122074,33.67161762859717,7784400
2023-08-25,33.58848190307617,33.902565752926,33.11735436633926,33.237446182908876,6243500
2023-08-28,33.82865905761719,33.884086858252196,33.39448695304366,33.73628291381618,4461100
2023-08-29,33.70855712890625,34.14272905770984,33.56998944537841,33.957973320980244,3816100
2023-08-30,33.53305435180664,33.91180221562109,33.3575382523546,33.85637793364904,4406700
2023-08-31,33.14506530761719,33.67161705086838,33.061925373213114,33.449909384482915,7545200
2023-09-01,33.209720611572266,33.4499006236544,32.85868503336957,33.034201060509474,10375300
2023-09-04,33.37601089477539,33.37601089477539,32.86793505792049,33.348295232599455,3994000
2023-09-05,33.17277908325195,33.570002842370265,33.01573893491047,33.25591902176332,4331200
2023-09-06,32.84022521972656,33.54229672062445,32.84022521972656,33.200497176589465,4726300
2023-09-08,32.70166015625,32.9141281376654,32.43376436597316,32.84022439251681,4376200
2023-09-11,32.59080505371094,32.96031673744593,32.15663287783559,32.858700848222576,6954500
2023-09-12,32.93259811401367,32.93259811401367,32.40604635885793,32.590798640445016,8096700
2023-09-13,34.115028381347656,34.84481184822536,33.12658891058368,33.218965047993414,14268900
2023-09-14,33.3298225402832,34.38292607201057,33.3298225402832,34.225882400759254,6123300
2023-09-15,33.34829330444336,33.717804904749855,33.209729097271264,33.34829330444336,9770200
2023-09-18,33.06193161010742,33.51457970864431,32.89565170993178,33.468391630578736,4523900
2023-09-19,33.23744201660156,33.55152582708104,32.9325979345054,33.08040187332375,4680200
2023-09-20,33.06193161010742,33.588483452688806,33.06193161010742,33.292875524359765,3614500
2023-09-21,32.31367111206055,32.90488695138748,32.18434308769832,32.812510797964286,8498600
2023-09-22,31.95339584350586,32.4799476156669,31.95339584350586,32.40604740543019,4730200
2023-09-25,33.433837890625,33.683689849340595,32.38816195896999,32.573237876170005,12727400
2023-09-26,33.38756561279297,33.51711767960065,32.4899498212982,32.563978060890136,9274100
2023-09-27,33.33205032348633,33.97981435347672,33.0914505406182,33.480110370624416,10447500
2023-09-28,33.674434661865234,33.84100263706234,33.13771837625311,33.40607475404439,5738900
2023-09-29,33.56338882446289,33.97055300433822,33.45234468995678,33.887269020951294,5247900
2023-10-02,33.45234298706055,33.813239053355986,33.304282971912954,33.56338711591394,5406700
2023-10-03,32.54547882080078,33.43384264364652,32.42518245804428,33.3320506982141,7549900
2023-10-04,32.53622055053711,32.89711663163053,32.434428624068836,32.665772627849684,5224100
2023-10-05,32.36965560913086,32.86010381335067,32.27711941098626,32.6657756792292,4103700
2023-10-06,32.203086853027344,32.526970598794,31.703382923007656,32.203086853027344,6279600
2023-10-09,32.249351501464844,32.41591946032129,31.962487206790353,32.09203927922776,3984400
2023-10-10,32.66577911376953,32.767571060448994,32.286375013437926,32.37891475134201,4115100
2023-10-11,32.54547882080078,32.906378499160304,32.30488256525778,32.50846645612263,5169500
2023-10-13,31.96248435974121,32.52696422224838,31.96248435974121,32.39740863132187,5443600
2023-10-16,32.064273834228516,32.46218572244764,32.05501809913767,32.29561779109877,3835500
2023-10-17,31.721885681152344,32.267857619854944,31.721885681152344,32.04576937395875,5700600
2023-10-18,31.73115348815918,32.31413800293276,31.56458547535805,31.684885380165614,8699900
2023-10-19,31.40726089477539,31.823680810401587,30.870544637991145,31.749652564306587,8305700
2023-10-20,31.286962509155273,31.768158432431626,31.19442279504685,31.34248280759118,4624100
2023-10-23,31.370241165161133,31.61083732096978,30.907553263197272,31.018597371260604,6072400
2023-10-24,32.39741134643555,32.48069532542501,31.666367008671557,31.962487038405396,9893700
2023-10-25,29.121585845947266,31.185175933892296,29.121585845947266,31.018607949975983,43128700
2023-10-26,30.2227783203125,30.80576615595744,29.167850304402965,29.45471635407731,19917500
2023-10-27,29.269641876220703,30.68546778063721,29.13083583030096,30.35233185841812,13106900
2023-10-30,29.889646530151367,30.04696229858863,29.362182449562724,29.593526468418432,14193400
2023-10-31,30.546659469604492,30.740991107736953,29.945167202137885,30.037703387892993,13609300
2023-11-01,30.611440658569336,30.805768776975118,30.352332970665564,30.491140786686493,11413500
2023-11-03,31.02785873413086,31.48129456510209,30.81502266001117,30.95383048358164,8785500
2023-11-06,30.731731414794922,31.416511103324687,30.602179359404392,31.23143522561161,8521100
2023-11-07,30.33382225036621,30.79651022138475,30.19501797707809,30.73173418784448,15716300
2023-11-08,30.0284481048584,30.417104281246342,29.85262442789627,30.259792075573753,6569200
2023-11-09,29.991437911987305,30.25979781613437,29.79710978692751,30.08397410581687,5700600
2023-11-10,30.694721221923828,30.91681302234573,30.02845288071696,30.13024480882577,7267300
2023-11-13,30.278305053710938,30.61144099176371,30.02845310017136,30.61144099176371,7939500
2023-11-14,30.96308135986328,31.092633440276437,30.25979712475067,30.49114113406829,8465100
2023-11-16,30.981584548950195,31.11113660947883,30.703972486384703,30.963076607441977,10829700
2023-11-17,30.778003692626953,31.15740770508767,30.39859968016624,31.00934768876225,8961500
2023-11-20,30.981584548950195,31.03710837347485,30.57442042585607,30.778000722388683,6991600
2023-11-21,31.148155212402344,31.148155212402344,30.731735317177204,30.95382710464035,4985800
2023-11-22,31.555322647094727,31.777414457615233,31.166666391220804,31.185174336266645,5651700
2023-11-23,31.518310546875,31.57383085244067,31.314726679721954,31.555322907242243,3008100
2023-11-24,31.203685760498047,31.638610162465497,31.203685760498047,31.462789959970568,2542400
2023-11-27,31.59233856201172,31.73114638494981,30.750246476926936,31.20368230583239,4968000
2023-11-28,31.80516815185547,31.99024403470304,31.305467857204533,31.583079916461465,5627600
2023-11-29,31.583078384399414,31.990242482889887,31.55531470880031,31.832930284619255,3021400
2023-11-30,31.63860321044922,31.768158811747924,31.222186847091265,31.620095267406548,8086700
2023-12-01,32.184574127197266,32.28636604560309,31.620094237877026,31.638602180317093,5005000
2023-12-04,32.16606521606445,32.647261114927545,31.74039314284944,31.786661232541686,5514000
2023-12-05,32.66577911376953,32.88787095470927,32.16607511917765,32.175330857983084,5143900
2023-12-06,32.74906539916992,33.40608169902176,32.67503713370859,32.78608129691573,5700700
2023-12-07,32.72129821777344,33.12846241549522,32.40667021452448,32.832342357146736,4183000
2023-12-08,32.064273834228516,32.88785775588204,31.786658261961303,32.721289824533166,5927600
2023-12-11,32.267860412597656,32.7120404728623,31.99024831618592,32.05502435434768,4105000
2023-12-12,32.415924072265625,32.499208063543,32.1660720984335,32.295627719332536,3469600
2023-12-13,33.36906051635742,33.452344499269614,32.03651678976238,32.277116531521756,6245100
2023-12-14,33.591148376464844,33.803984434651085,33.20249214761066,33.655924414607206,5864700
2023-12-15,33.3412971496582,34.02607696339454,33.3412971496582,33.776225012302746,11388200
2023-12-18,33.41728210449219,33.834535213825646,33.32455722625562,33.565638372578256,5052100
2023-12-19,33.76961898803711,33.95506516874398,33.426545852839006,33.49145148552265,4893400
2023-12-20,33.52853775024414,34.066331261576785,33.52853775024414,33.713983910603375,6796400
2023-12-21,33.74180603027344,33.84380161477323,33.45436778714711,33.84380161477323,4939500
2023-12-22,33.85306930541992,33.89015924866511,33.5378118620192,33.74180301277604,4733200
2023-12-26,34.047786712646484,34.23322933820639,33.79743492363098,33.908701206385196,3173100
2023-12-27,34.159061431884766,34.2981469724969,33.85307465737495,34.04779512165039,2730800
2023-12-28,34.223968505859375,34.511410317838376,34.038522289650096,34.159062860749984,3536300
2024-01-02,33.9087028503418,34.35377154002777,33.68617027404458,34.2239602810058,3991200
